fiscal_year,data_from_table,mcx_futures_turnover_percentage_share_agriculture_commodities_proprietary,mcx_futures_turnover_percentage_share_agriculture_commodities_client,mcx_futures_turnover_percentage_share_agriculture_commodities_hedgers,mcx_futures_turnover_percentage_share_non_agriculture_commodities_proprietary,mcx_futures_turnover_percentage_share_non_agriculture_commodities_client,mcx_futures_turnover_percentage_share_non_agriculture_commodities_hedgers,mcx_futures_turnover_percentage_share_indices_agri_non_agri_proprietary,mcx_futures_turnover_percentage_share_indices_agri_non_agri_client,ncdex_futures_turnover_percentage_share_agriculture_commodities_proprietary,ncdex_futures_turnover_percentage_share_agriculture_commodities_client,ncdex_futures_turnover_percentage_share_agriculture_commodities_hedgers,ncdex_futures_turnover_percentage_share_non_agriculture_commodities_proprietary,ncdex_futures_turnover_percentage_share_non_agriculture_commodities_client,ncdex_futures_turnover_percentage_share_non_agriculture_commodities_hedgers,ncdex_futures_turnover_percentage_share_indices_agri_non_agri_proprietary,ncdex_futures_turnover_percentage_share_indices_agri_non_agri_client,bse_futures_turnover_percentage_share_agriculture_commodities_proprietary,bse_futures_turnover_percentage_share_agriculture_commodities_client,bse_futures_turnover_percentage_share_agriculture_commodities_hedgers,bse_futures_turnover_percentage_share_non_agriculture_commodities_proprietary,bse_futures_turnover_percentage_share_non_agriculture_commodities_client,bse_futures_turnover_percentage_share_non_agriculture_commodities_hedgers,bse_futures_turnover_percentage_share_indices_agri_non_agri_proprietary,bse_futures_turnover_percentage_share_indices_agri_non_agri_client,nse_futures_turnover_percentage_share_agriculture_commodities_proprietary,nse_futures_turnover_percentage_share_agriculture_commodities_client,nse_futures_turnover_percentage_share_agriculture_commodities_hedgers,nse_futures_turnover_percentage_share_non_agriculture_commodities_proprietary,nse_futures_turnover_percentage_share_non_agriculture_commodities_client,nse_futures_turnover_percentage_share_non_agriculture_commodities_hedgers,released_on,updated_on,data_source,data_url
2013-14,Table 47A :  Participant-wise share in Commodity Futures Turnover,39.75393878773767,60.24606121226233,0,32.98517323534829,67.01482676465172,0,,,41.31179082307217,58.14598064633495,0.5422285305928738,57.671844328455215,42.328155671544785,0,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 47A :  Participant-wise share in Commodity Futures Turnover,41.608083396296315,58.391916603703685,0,32.99327129770147,67.00672870229853,0,,,46.186910795982236,53.11731891969656,0.6957702843212104,73.99311045690801,26.006889543091983,0,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 47A :  Participant-wise share in Commodity Futures Turnover,44.85822474174847,55.14177525825153,0,23.442745365796817,76.55725463420319,0,,,49.15189197470719,50.51826023171146,0.3298477935813466,79.27558848970646,20.724411510293542,0,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 47A :  Participant-wise share in Commodity Futures Turnover,35.27513073943592,64.72486926056408,0,19.636723386964807,80.3632766130352,0,,,41.560108200399654,58.16545824395906,0.2744335556412907,73.6381155816561,26.361884418343905,0,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 47A :  Participant-wise share in Commodity Futures Turnover,35.440516927,64.559483073,0,20.606491483,79.393508517,0,,,41.04263214312802,58.7948514156235,0.16251644124848158,,,0,,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 47A :  Participant-wise share in Commodity Futures Turnover,38.2172440483998,61.7827559516002,0,27.622798014852613,72.3772019851474,0,,,44.12468450565918,55.463657380271655,0.41165811406914354,,,0,,,,,,92.95460150812333,7.045398491876669,0,,,83.93233677461743,16.067663225382567,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 47A :  Participant-wise share in Commodity Futures Turnover,38.26337519529008,61.736624804709926,0,36.87670665636504,63.12329334363497,0,,,46.55067480335848,52.60731853964001,0.8420066570014938,,,0,,,65.5001776526799,34.49982234732,0,82.0517485057118,17.9482514942881,0,,,45.265392816655925,54.73460718334407,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 47A :  Participant-wise share in Commodity Futures Turnover,33.88453589422982,66.11546410577019,0,35.67308658458565,64.32691341541435,0,49.25879062615172,50.74120937384827,37.084424785708286,62.91557521429172,1.4265768726891104,11.488774815655132,88.51226885989789,0,37.084424785708286,62.91557521429172,63.29661066742025,36.70338933257975,0,50.12503162940705,49.87496837059295,0,,,98.49707814038892,1.5029218596110787,0,57.49075082555636,42.509249174444086,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 47A :  Participant-wise share in Commodity Futures Turnover,30.9,69.1,0,38.3,61.7,0,44.4,55.6,40.8,58.4229331075121,0.8203228692355186,17.6761449868898,82.3238550131102,0,41.2,58.8,50.57930452539489,49.42069547460511,0,50,50,0,,,71.5,28.5,0,82,18,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 47A :  Participant-wise share in Commodity Futures Turnover,26.2071061734796,73.79289382652036,,48.110361921525325,51.394195753050305,0.4954423254243601,44.54525601161263,55.454743988387364,39.13758082316142,60.145650571914025,0.7167686049245534,39.530121651588026,60.469878348411974,0,59.15713153667342,40.84286846332658,17.3542773419355,82.6327407408732,0.0129819171912585,0,100,0,0,0,0,0,0,50,50,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 47A :  Participant-wise share in Commodity Futures Turnover,16.4,78.8,,49.4,49.6,0.9,41.8,57.6,43.2,54.1,2.5,26.4,73.7,0,0,0,0,100,0,0,100,0,0,0,0,0,0,81.6,18.4,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 47A :  Participant-wise share in Commodity Futures Turnover,25.878994273316785,74.12100572668322,,48.268090580943166,51.065751122717906,0.6661582963389228,35.995100370016445,64.00489962998356,43.32620066669887,55.688723464909785,0.9850758683913521,0,100,0,0,0,0,100,0,77.9233005955423,14.2474820356246,7.82921736883306,0,0,0,0,0,84.73,15.27,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
