fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,northern_no_of_issues,northern_amount_cr,eastern_no_of_issues,eastern_amount_cr,western_no_of_issues,western_amount_cr,southern_no_of_issues,southern_amount_cr,central_no_of_issues,central_amount_cr,foreign_no_of_issues,foreign_amount_cr,released_on,updated_on,data_source,data_url
2019-20,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,3168.70262,2,1822.37,1,18.49,6,1303.02044,1,24.82218,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),11,50196.01242175,3,24951.473783,,,8,25244.53863875,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,52.5777837,1,30.86,,,2,21.7177837,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,2010.9101726,2,482.1489726,1,1485,6,43.7612,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,4680.9754414,3,67.879652,,,4,3423.2463734000003,1,1189.849416,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,20.519599999999997,,,,,4,20.519599999999997,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,986.2201706000001,2,655.89,,,6,242.1568074,2,88.1733632,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),2,24.213,,,,,2,24.213,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,1672.7508065000002,1,745.95,,,3,517.124,1,409.6768065,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,25.69,1,3.11,,,2,15.35,1,7.23,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),6,3482.169999999999,1,4.08,,,4,3473.8499999999995,1,4.24,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),7,10728.429999999998,2,10356.13,,,5,372.30000000000007,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,13.92,0,0,0,0,3,13.92,0,0,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),0,0,0,0,0,0,0,0,0,0,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),2,53126.66,0,0,0,0,2,53126.66,0,0,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,15910.569975000002,2,14.53,0,0,3,15896.039975000002,0,0,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),9,6107.75,1,299.79,1,79.53,5,4211.37,2,1517.06,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),5,1671.594477,2,362.689477,0,0,2,606.885,1,702.02,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),17,6440.610000000001,1,4.5,1,349.66,13,3783.14,2,2303.31,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,7070.04,0,0,0,0,1,1.59,3,7068.45,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),4,1652.3999999999999,1,540.54,0,0,3,1111.86,0,0,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),3,5014.62,1,4633.38,0,0,1,299.99,1,81.25,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,6686.5599999999995,1,819.24,0,0,5,5451.45,1,412.63,1,3.24,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),18,6423.595560399999,3,56.71,1,45.14,10,3216.6354899,3,2595.1100705,1,510,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,3288.220776,2,28.096799999999998,0,0,3,2703.8539760000003,4,537.6700000000001,1,18.6,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),2,26.12,1,25,0,0,0,0,1,1.12,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,9549.91565703,2,5599.09866663,1,908.55,3,19.3,4,3022.9669904,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),10,13252.373738094999,3,10224.122358094999,0,0,7,3028.25138,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),15,20546.14998,3,2244.0299999999997,0,0,9,11642.56998,3,6659.55,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),12,3967.92,2,28.98,0,0,7,748.07,3,3190.87,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),18,3833.48264,3,11.592,3,429.51120000000003,10,3272.7754400000003,1,99.99,1,19.614,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),17,57360.09791700001,3,44997.099917,1,1023.47,7,8732.91,6,2606.618,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),30,18258.216425860002,9,2488.19240196,3,798.7412789,14,6366.082745,4,8605.2,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),11,814.08781456,3,62.77147856,1,2.26,3,696.96,4,52.09633600000001,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),13,6943.83,2,57.480000000000004,1,3149.19,8,3711.2299999999996,2,25.93,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),16,1053.8228156,1,22.69,3,85.86120600000001,11,942.3916095999999,1,2.88,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),15,4957.419999999999,3,136.78,1,60,7,4408.03,2,211.49,2,141.12,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),19,32319.1277806,3,7036.86,1,1501.73,11,22060.5364606,3,139.15132,1,1580.85,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),12,1468.84,0,0,2,16.21,8,1029.6499999999999,2,422.98,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,280.75743700000004,1,4.5,1,1.9,9,210.17625,2,57.991187,1,6.19,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),8,945.05,2,25.74,0,0,5,914.06,1,5.25,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),30,2712.034,5,636.69,2,41.654,19,1173.73,4,859.96,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),25,1418.8554251,4,126.44999999999999,1,26.02,14,369.77492509999996,4,881.9005,2,14.71,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),19,11729.039999999999,4,4903.17,0,0,11,3605.95,4,3219.92,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),21,5235.1768848,3,933.7458008000001,2,485.2,12,2248.3050839999996,2,1533.97,2,33.956,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),21,1121.8249,4,116.061,1,29.592,12,401.98,4,574.1919,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),17,570.019,5,199.4,1,13.01,6,158.03,4,186.619,1,12.96,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),37,3065.07,5,185.14,2,14.780000000000001,24,2726.68,4,74.17,2,64.3,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,1981.2977965999999,2,32.5632,0,0,9,996.6228012,3,952.1117953999999,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),14,7273.549469999998,5,6901.371569999998,1,27.0691,4,245.0108,4,100.098,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),25,1484.4890367,6,856.5683200000001,1,57.2108,16,508.3699167,2,62.34,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),28,4386.9669478000005,10,2699.622842,1,26.94,13,952.2227426000001,4,708.1813632,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),31,6466.673576799999,5,799.5594449999999,0,0,21,4629.664131799999,5,1037.45,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),35,9564.910000000002,3,2421.35,1,17.07,26,5054.3600000000015,5,2072.13,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),34,5287.919999999999,7,215.03,1,25.07,19,3920.099999999999,7,1127.72,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),30,13543.224107,10,4873.580000000001,1,32.88,13,8012.124107,4,584.68,2,39.96,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),33,9571.779999999999,4,2278.03,1,34.8,23,6397.98,5,860.97,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),25,3612.2481,6,185.69,1,9.6,12,1339.419,5,1437.4891,1,640.05,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),35,15642.6889287,8,10559.9639822,4,1698.2738074,19,3213.6685791,1,47.19792,3,123.58464000000001,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),36,4276.7682764,6,582.2642400000001,4,377.5043923,20,1924.1030041,5,1350.204,1,42.69264,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),35,25370.566831899996,10,4644.948885000001,0,0,22,19527.236426899995,3,1198.3815200000001,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),39,12338.4028273,6,2234.4149838000003,3,426.588,23,4608.0137235,6,5026.224999999999,1,43.16112,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),38,3571.1980000000003,7,1299.5532,3,87.91,25,1581.0903999999998,2,571.85,1,30.7944,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),42,9001.100853099999,12,1603.3992968,4,199.82196,19,4648.360167999999,4,2296.33,3,253.1894283,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),43,18815.442833906,12,4205.473763065999,4,3079.2996358,20,5101.52489654,7,6429.1445385,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),58,16883.4016,12,1145.6599999999999,8,1936.9568,24,9076.484800000002,12,4408.509999999999,2,315.78999999999996,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),47,35653.23862904,11,1057.94054165,1,22.47168,30,5965.2386873899995,5,28607.58772,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),18,36265.5032,5,15779.64,1,42.22,8,5695.8132,4,14747.83,0,0,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),48,31118.61736622,8,8744.365994900001,4,1238.5163187599999,26,17235.5071868,9,3861.6878657600005,1,38.54,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),44,3620.4900444,14,890.0392128,3,234.11,22,1702.9024700999998,4,708.2283615,1,85.21,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),31,15513.1075465,4,295.39,2,41.92,18,10468.1677525,5,4674.329794,2,33.300000000000004,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 4: Region-wise Distribution of Resource Mobilisation  (Equity Issues),21,2038.78752778,3,76.16100399999999,2,112.91736,11,1124.90574578,4,674.697418,1,50.105999999999995,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
