fiscal_year,data_from_table,released_on,updated_on,data_source,data_url,segment,existing_at_the_beginning_of_the_period_excluding_stp_in_lakh,registered_during_the_period,matured_during_the_period,terminated_prematurely_during_the_period,closing_no_of_sips_at_the_end_of_the_period,aum_at_the_beginning_of_the_period_in_crore,aum_at_the_end_of_the_period
2019-20,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,T-30 Cities,145.23,63.71,20.8,21.94,166.2,180106.88,160053
2020-21,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,T-30 Cities,165.836605,70.66145499999999,15.24624119183214,27.278467950751523,193.97335085741634,160052.93977473426,281201.88217564754
2021-22,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,T-30 Cities,194,120,13,29,271,281202,377760
2022-23,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,T-30 Cities,271.30807986524104,93.94722999999999,13.078236017451268,33.028946591240796,319.14812725654895,377760.01081696624,447791.0307641945
2023-24,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,T-30 Cities,319.14812725654895,171.53618999999998,15.806904486524584,87.58334373273837,387.294069037286,447791.0343410095,704330.258883459
2024-25,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,T-30 Cities,387.294069037286,280.26175,15.083471813983273,202.18474854968048,450.28759867362226,704330.258883459,871769.1763234794
2019-20,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,B-30 Cities,114.82,67.69,12.01,21.81,145.68,85406.31,78768
2020-21,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,B-30 Cities,149.478575,60.218385,9.339235209877053,26.23161564753929,174.12610914258366,78768.13647854468,143615.15581069692
2021-22,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,B-30 Cities,174,120,8,37,249,143615,193669
2022-23,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,B-30 Cities,249.31707013475898,120.19292999999999,9.665985845972333,49.64818154533568,310.195832743451,193668.81335708062,228834.47788588697
2023-24,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,B-30 Cities,310.195832743451,246.75364000000002,10.239982197764288,102.90594958297282,443.803540962714,228834.47921262297,357728.53442736936
2024-25,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,B-30 Cities,443.803540962714,387.43165,9.948894755320993,279.90367488101515,541.3826213263778,357728.53442736936,449387.6292912384
2019-20,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Total,260.05,131.4,32.81,43.75,311.88,265513.19,238821
2020-21,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Total,315.31518,130.87984,24.585476401709194,53.51008359829081,368.09946,238821.07625327894,424817.0379863445
2021-22,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Total,368,240,22,66,521,424817,571429
2022-23,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Total,520.6251500000001,214.14015999999998,22.7442218634236,82.67712813657647,629.3439599999999,571428.8241740469,676625.5086500815
2023-24,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Total,629.3439599999999,418.28983,26.04688668428887,190.48929331571117,831.09761,676625.5135536324,1062058.7933108285
2024-25,Table 63 Resource Mobilisation through Systematic Investment Plans (SIPs),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Total,831.09761,667.6934,25.032366569304266,482.0884234306956,991.6702200000001,1062058.7933108285,1321156.8056147178
