fiscal_year,month,month_numeric,data_from_table,only_nse_no_of_issues,only_nse_amount_cr,only_bse_no_of_issues,only_bse_amount_cr,both_nse_and_bse_no_of_issues,both_nse_and_bse_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2019-20,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,1930.4646753899997,1,1930.4646753899997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,2,13399.999921499999,2,13399.999921499999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,,,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,3,11399.999040615,3,11399.999040615,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,,,1,2025.27,1,2025.27,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,14900,2,14900,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,5460.65,3,5460.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,8212.5,2,8212.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,2000,1,2000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,7,42724.96,7,42724.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,1337.87,3,1337.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,2199.97,3,2199.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,249.9999855,1,249.9999855,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,7423.21738327,4,7423.21738327,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,1169.99,1,1169.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,2645.13,4,2645.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,5,10774.7222,5,10774.7222,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,4010.04,3,4010.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,3847,3,3847,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,4449.997976,4,4449.997976,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,1683.699897,3,1683.699897,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,3199.98,2,3199.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,2685.53,2,2685.53,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,1210,3,1210,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,5617,3,5617,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,705.7,2,705.7,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,1952,2,1952,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,2079,2,2079,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,959,2,959,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,50,1,50,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,2000,1,2000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,606.9,3,606.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,500,1,500,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,3597,2,3597,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,1,500,1,500,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,1000.49,2,1000.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,349.91,2,349.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,1800,3,1800,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,5690,4,5690,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,7400,4,7400,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,5,3102,5,3102,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,4,7609.12,4,7609.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,6,11363.54,6,11363.54,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,1,79.992,0,0,12,15533.37,13,15613.362000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,8,3255.277104,8,3255.277104,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,3399.98,3,3399.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,2,186.5457597,0,0,5,8201.266446,7,8387.8122057,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,11,11471.732781210001,11,11471.732781210001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,2,3039.999892,2,3039.999892,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 5: Resources Mobilised through Qualified Institutional Placements,1,24.84,0,0,5,2749.9996,6,2774.8396000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,11,13699.104579524997,11,13699.104579524997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,1,248.50344,7,12033.097714366997,8,12281.601154366997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 5: Resources Mobilised through Qualified Institutional Placements,1,3000,1,149.9952,10,18332.76,12,21482.7552,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,1,49.969999999997526,9,15539.03,10,15588.999999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 5: Resources Mobilised through Qualified Institutional Placements,2,40.0483,0,0,4,11149.99979,6,11190.04809,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,1,95.66,16,34643.83,17,34739.490000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,3,3960.65,3,3960.65,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 5: Resources Mobilised through Qualified Institutional Placements,0,0,0,0,5,5367.722975323,5,5367.722975323,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
