fiscal_year,data_from_table,iccl_no_of_trades_lakh,iccl_traded_quantity_lakh,iccl_delivered_quantity_lakh,iccl_per_cent_of_delivered_quantity_to_traded_quantity,iccl_settlement_turnover_inr_crore,iccl_delivered_value_inr_crore,iccl_per_cent_of_delivered_value_to_total_turnover,iccl_delivered_quantity_in_demat_mode_lakh,iccl_per_cent_of_demat_delivered_quantity_to_total_delivered_quantity,iccl_delivered_value_in_demat_mode_inr_crore,iccl_per_cent_of_demat_delivered_value_to_total_delivered_value,iccl_short_delivery_auctioned_quantity_lakh,iccl_per_cent_of_short_delivery_to_delivery,iccl_funds_pay_in_inrcrore,iccl_securities_pay_in_crore,iccl_settlement_guarantee_fund_inr_crore,nsccl_no_of_trades_lakh,nsccl_traded_quantity_lakh,nsccl_delivered_quantity_lakh,nsccl_per_cent_of_delivered_quantity_to_traded_quantity,nsccl_settlement_turnover_inr_crore,nsccl_delivered_value_inr_crore,nsccl_per_cent_of_delivered_value_to_total_turnover,nsccl_delivered_quantity_in_demat_mode_lakh,nsccl_per_cent_of_demat_delivered_quantity_to_total_delivered_quantity,nsccl_delivered_value_in_demat_mode_inr_crore,nsccl_per_cent_of_demat_delivered_value_to_total_delivered_value,nsccl_short_delivery_auctioned_quantity_lakh,nsccl_per_cent_of_short_delivery_to_delivery,nsccl_funds_pay_in_inrcrore,nsccl_securities_pay_in_crore,nsccl_settlement_guarantee_fund_inr_crore,mccil_no_of_trades_lakh,mccil_traded_quantity_lakh,mccil_delivered_quantity_lakh,mccil_per_cent_of_delivered_quantity_to_traded_quantity,mccil_settlement_turnover_inr_crore,mccil_delivered_value_inr_crore,mccil_per_cent_of_delivered_value_to_total_turnover,mccil_delivered_quantity_in_demat_mode_lakh,mccil_per_cent_of_demat_delivered_quantity_to_total_delivered_quantity,mccil_delivered_value_in_demat_mode_inr_crore,mccil_per_cent_of_demat_delivered_value_to_total_delivered_value,mccil_short_delivery_auctioned_quantity_lakh,mccil_per_cent_of_short_delivery_to_delivery,mccil_funds_pay_in_inrcrore,mccil_securities_pay_in_crore,mccil_settlement_guarantee_fund_inr_crore,released_on,updated_on,data_source,data_url
2013-14,Table 18 : Settlement Statistics for Equity Cash Segment,3601.52362,479949,231246,48.18136927048499,518302.60000000003,179921.24748793498,34.43507811877348,225697.17424999995,99.98571477081153,179916.17274105502,99.99724391922025,526.2145800000001,0.2413602579586496,74263.2169373,180172.093272534,,14257.18571,1505134,423416,28.13144876137274,2771237.6399999997,822378.05,29.675479220179767,423330.35451,100,822378.05,100,600.30549,0.14160464119297242,271841.12000000005,823041.8400000001,,16.978930000000002,1977.5107700000003,48.234739999999995,2.439164465334365,11240.240575509995,269.9462386609807,2.4016055247886245,48.234739999999995,100,269.9462386609807,100,0.27297,0.5659199158117159,153.11925544,269.9462386609807,44.000509221,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 18 : Settlement Statistics for Equity Cash Segment,7114.219300000001,860695,432112.3153,50.20504537612046,857435.5500000002,299511.98040545895,34.836078951197386,434991.8378999999,99.97718552375159,299493.909775179,99.99185351273546,873.1464,0.20152967864436575,111561.044278063,299913.804671471,,18338.1983,4444676.248849999,1219593.9997299998,27.439433863052535,4325174.07,1275894.3500000003,29.49926013035587,637776.36626,100,1275894.3500000003,100,906.62374,0.14195207234186713,366073.97,1276859.1899999997,125,0.005206,0.4812299999999999,0.02645,5.496332315109201,5.032455420000001,0.08618525,1.7125884445490027,0.02645,100,0.08618525,100,0,0,0.081557355,0.08618525,37.47,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 18 : Settlement Statistics for Equity Cash Segment,4135.71523,762549,357015.02634,46.818634125806994,741431.3700000001,246872.63646065202,33.2399370531152,357321.88469,99.95330698847745,246835.12108418898,99.98665127644763,727.0533300000002,0.2075554010357428,100553.69170099997,247203.52859468403,111.11,18484.02751,2177860.81632,619359.51697,28.438893446668978,4202927.51,1251732.25,29.782389703885237,618225.06724,100,1251732.25,100,1134.45276,0.1831654674493419,388404.97,1252658.4799999997,164,0.18497999999999998,240.70411,70.48567,29.28311859735175,205.55158,97.11675,47.24690026707651,70.48567,100,97.11675,100,0.5613,0.7963320771441912,97.5061,87.92864999999999,36.41347183499999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 18 : Settlement Statistics for Equity Cash Segment,3918.5088299999998,707223,303781.60625,42.95414688860515,998260.5800000001,464996.297398661,37.43805885173333,303449.16791,99.94442952609478,464969.746844938,99.99,714.67051,0.2445689483924621,117489.5380093,298363.240048661,148.66,19728.3405,2584979.49389,725682.13912,28.073032719805408,4998105.7,1478866.92,29.588548317415537,724494.5030344999,100,1478866.92,100,1187.6369654999999,0.16365801223935314,409421.9700000001,1479963.1000000003,197.17,0.20196000000000003,144.71549999999996,141.11568,97.51248484094657,248.08345292999996,237.11666553166665,95.57939585699505,141.11568,100,237.11666553166665,100,0.0352,0.02494407425170612,210.80143877999998,237.11666553166665,0.29859652400000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 18 : Settlement Statistics for Equity Cash Segment,3585.825040000001,771564,308291.02645,39.95663696725094,1082968.22,395999.29283584707,36.43034039335845,307998.30362,99.89106364602905,395846.004786489,99.94696246327884,624.554452342,0.20111173120119563,150247.0435933,308291.02645,192,24800.64123,3710851.7219100003,952812.1273699999,25.67637294005326,7198786.9799999995,2018374.75,28.037706291456345,951307.86192,100,2018374.75,100,1504.26808,0.15787667186814677,509415.1699999999,2019893.3200000003,224.59,0.028229999999999998,151.78947999999997,28.12238,18.527225997480198,192.76668192500003,43.622502475000005,22.62968996476905,28.12238,100,43.622502475000005,100,0,0,43.626681925,43.622502475000005,0.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 18 : Settlement Statistics for Equity Cash Segment,3138.8,518108,195611.20925,37.75491002841107,777366,262992,33.36135933224342,195920.3,99.99404463017483,262991,99.99951827658633,458.70000000000005,0.23760412540510464,107309,263376,207.14,28452.84784,3668649.104800001,845400.33828,23.043913825770147,7912284.840000001,1949508.0899999999,24.63900288503769,844261.31854,100,1949508.0899999999,100,1138.86146,0.1347127061174745,533294.5399999999,1950906.3599999999,270.69,0.01915,14.168639999999998,14.168639999999998,100,30.290899484999997,30.290899484999997,100,14.168639999999998,100,30.290899484999997,100,0,0,30.290899484999997,30.290899484999997,0.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 18 : Settlement Statistics for Equity Cash Segment,3210.1607599999998,555304,204312.50842000003,36.79291134585741,672464.22,193663.122984893,28.799022643151634,171221.4999,94.4630288162527,193243.433388274,99.81952678811689,369.1519,0.21803175481523654,61952.6980559,193935.17293414898,223.1,35768.93571,5361647.5339,1067585.12656,19.911512642522606,9643316.766620614,2075783.27,21.526959809379818,1065619.0107099998,100,2075783.27,100,1966.1049605500266,0.18450355528474024,600587.1225816661,2077333.0315484582,302.11,0.07789499999999999,18.997710000000005,16.821540000000002,88.55,30.65883581,26.485512611361504,0.8655,16.82147,100,26.485512611361504,100,0.12927,0.007684789858716858,26.527560803999993,27.336250600361502,0.347982779,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 18 : Settlement Statistics for Equity Cash Segment,5484.499999999999,1042126.6,289623.01368,27.791538348603712,1042329,281917.700636165,27.046901759057356,519523.5202,100,281917.700636165,100,642.6154,0.2218799507106904,60578,282302,279.39,55746.94705,9040217.3039,1542924.50798,17.067338716674143,16566141.7,2950886.545,17.81275688,1539794.029,99.79710744214843,2948628.592,99.92348221574883,3130.48904,0.20289320856390208,846716.12,2950886.548,363.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 18 : Settlement Statistics for Equity Cash Segment,7934.149999999999,1634604,470945.82244,28.811003915321386,1336676,452379.78997236,33.84363824684217,470945.2478,99.99987798171836,452380.05554865603,100.00005870648995,751.2053800000001,0.15950993600664248,86258,452798,327.21,68275.75477,9590374.642600002,1701158.1755999997,17.738182698760628,17955793.39,3827570.967,21.31663516,1702607.539,100,3826063.398,100,2023.75328,0.118861995,931720.254,3827570.969,467.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 18 : Settlement Statistics for Equity Cash Segment,7105.4,1470552,356991.07615000004,24.275991338626586,1801056,368603,20.465937761,356991.17615,100.000028012,368603,100,725.30059,0.20317051,81157,369338,353.59,56484.19717,8095413.754,1573802.4869,19.44066770055296,14552993.51,3517907.987,24.17308841,1571775.87,100,3516186.17,100,2026.6168,0.128938027,933889.7763,3517907.987,651.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 18 : Settlement Statistics for Equity Cash Segment,9981,2519146,597538,23.72,3458334,699413,20.22,597537,100,699413,100,1014,0.17,158274,700419,385.35,69487.82673999999,11268719.193800002,2344344.1848999998,20.803998614055867,21748414.3877,5504035.4573,25.30775512725587,2341440.7551,99.87615172641028,5498635.564099999,99.90189210731121,2903.4311500000003,0.12384833117513626,1303158.07,5504035.4573,765.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 18 : Settlement Statistics for Equity Cash Segment,11639.669759999999,2316597.46769,669110.4036,28.883326211489162,4072475.339288693,892488.4165011641,21.915133724469598,669110.4036,100,892488.4165011641,100,633.5072000000001,0.09467902405814575,214239.665805968,1079060.1412027732,196.71,100169.66554999999,11725888.4972,2649924.3221000005,22.598921375832376,30277338.209,7472974.1182,24.68174073498523,2647524.5957,99.90944170065586,7469366.033299998,99.95171822031051,2399.71661,0.09055792989960872,1778910.11,7472974.1182,459.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
