fiscal_year,month,month_numeric,data_from_table,total_no_of_issues,total_amount_cr,lt_5_crore_no_of_issues,lt_5_crore_amount_cr,gte_5_crore_lt_10_crore_no_of_issues,gte_5_crore_lt_10_crore_amount_cr,gte_10_crore_lt_50_crore_no_of_issues,gte_10_crore_lt_50_crore_amount_cr,gte_50_crore_lt_100_crore_no_of_issues,gte_50_crore_lt_100_crore_amount_cr,gte_100_crore_lt_500_crore_no_of_issues,gte_100_crore_lt_500_crore_amount_cr,gte_500_crore_no_of_issues,gte_500_crore_amount_cr,released_on,updated_on,data_source,data_url
2019-20,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,986.22,3,10.12,0,0,4,77.14,1,60,1,201,1,637.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,24.21,1,2.64,0,0,1,21.57,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,1672.75,0,0,1,6.32,1,10.8,0,0,2,909.68,1,745.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,25.689999999999998,2,6.9399999999999995,1,7.23,1,11.52,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),6,3482.17,2,8.32,1,8,2,35.69,0,0,0,0,1,3430.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),7,10728.439999999999,2,6.95,2,15.36,1,15.33,0,0,1,350,1,10340.8,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,13.92,2,5.640000000000001,1,8.28,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),1,171.12793960001727,0,0,0,0,0,0,0,0,1,171.12793960001727,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,53126.659999999996,1,2.46,0,0,0,0,0,0,0,0,1,53124.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,15910.78,1,4.02,0,0,1,10.51,0,0,2,896.25,1,15000,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),9,6107.75,1,4.55,1,6.9,1,24.87,1,79.53,2,415.77,3,5576.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),5,1671.595,0,0,1,6.885,0,0,0,0,2,362.69,2,1302.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),17,6440.6062999999995,4,18.076300000000003,1,8.09,4,60.97,1,61.2,4,1290.27,3,5002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,7070.0352,1,1.59,0,0,0,0,1,71.3,0,0,2,6997.1452,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),4,1652.4,1,2.7,0,0,0,0,0,0,1,299.16,2,1350.54,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),3,5014.62,0,0,0,0,0,0,1,81.25,1,299.99,1,4633.38,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),6,6556.5599999999995,1,3.24,0,0,0,0,0,0,1,412.63,4,6140.69,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),18,6282.285560400001,2,4.01,2,17.252,5,6,0,0,0,0,9,6255.023560400001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,3288.220776,3,13.706800000000001,1,9.87,2,42,1,69.95,2,652.693976,1,2500,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),2,26.12,1,1.12,0,0,1,25,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,9549.91565703,3,13.600000000000001,1,9.75,1,49.098666630000004,0,0,1,355,4,9122.4669904,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),10,13252.373738094999,1,1.22,3,18.08,1,49.122392895000004,0,0,0,0,5,13183.9513452,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),15,20546.14998,1,4.49,2,11.36,2,43.19,0,0,2,562.62,8,19924.48998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),12,3967.92,4,14.21,0,0,4,105.66,0,0,1,101.64,3,3746.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),18,3833.48264,3,7.885440000000001,4,26.610000000000003,6,135.4272,1,99.99,3,795.31,1,2768.26,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),17,57360.097917,0,0,0,0,5,127.23999999999998,1,50,1,125.428,10,57057.429917,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),30,18258.216425860002,5,15.42,3,27.841405,7,227.23099696000003,0,0,3,579.0851689000001,12,17408.638855,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),11,814.08781456,4,11.64,2,16.756336,4,105.69147856000001,0,0,0,0,1,680,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),13,6943.830000000001,3,11.11,0,0,7,132.77999999999997,1,50.75,0,0,2,6749.1900000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),16,1053.8228156,4,16.2768,2,16.215,9,273.3263906,0,0,0,0,1,748.004625,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),15,4957.42,2,4.16,0,0,8,207.72,2,115.5,2,330.04,1,4300,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),19,32319.1277806,2,4.699999999999999,2,15.440000000000001,4,160.27,1,83.83132,5,1780.4764606,5,30274.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),12,1468.84,0,0,3,22.81,6,148.92,1,76.28,1,412.79,1,808.04,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,280.757437,3,7.516249999999999,3,24.281187,7,183.38,1,65.58,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),8,945.05,2,6.319999999999999,2,13.1,3,85.5,0,0,0,0,1,840.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),30,2712.0433447,4,15.1066,6,44.2832,16,471.4547129,1,56,0,0,3,2125.1988318,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),25,1418.8554251,3,11.46,3,25,14,387.09542510000006,3,185.92000000000002,1,309.38,1,500,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),19,11729.043814499999,1,4.37,3,21.93,3,64.262,1,64.64,1,399.8018145,10,11174.039999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),21,5235.1768848,0,0,3,26.786,11,288.6808848,0,0,3,1071.75,4,3847.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),21,1121.8266096,0,0,4,28.29177,13,234.03722410000003,1,66.3,3,793.1976155,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),17,570.021,2,9.454,2,14.308,11,340.709,1,80.55,1,125,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),37,3065.0621,3,12.033999999999999,6,43.89,21,515.2991,3,161.82,3,892.019,1,1440,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,1981.2977965999999,1,4.6,2,13.8705,8,227.78239399999998,1,65.999997,0,0,2,1669.0449056,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),14,7273.54947,0,0,1,9.333,10,336.61740000000003,0,0,1,107.4938,2,6820.10527,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),25,1484.4890366999998,1,2.832,1,6.0158076,16,447.0452291,5,316.95599999999996,1,105.14,1,606.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),28,4386.9669478,0,0,1,5.69,15,439.30113630000005,5,318.3056836,3,1333.4301279,4,2290.24,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),31,6466.6735768,1,2.03,5,36.516131,16,575.5902020000001,2,156.39999999999998,2,504.05,5,5192.0872438,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),35,9564.91,0,0,2,14.87,17,335.34,4,226.46999999999997,5,1515.6599999999999,7,7472.570000000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),34,5287.92,0,0,4,33.82,21,616.2299999999999,4,230.85,2,422.65999999999997,3,3984.36,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),30,13543.224107000002,0,0,3,26.14,15,395.26000000000005,2,106.15,2,953.3399999999999,8,12062.334107000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),33,9571.779999999999,0,0,1,6.88,17,420.63000000000005,3,212.49,3,651.09,9,8280.689999999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),25,3612.2481,0,0,2,19.168799999999997,16,416.229,3,221.17000000000002,1,143.8103,3,2811.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),35,15642.688928699998,0,0,3,21.76198,15,433.4873391,6,448.73942000000005,2,508.47020740000005,9,14230.229982199999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),36,4276.7682764,0,0,3,24.642,21,777.5409999999999,3,170.0472,7,2052.6909478000002,2,1251.8471286,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),35,25370.5668319,1,4.76,3,21.8,20,513.1840725999999,5,275.15276,2,480.2,4,24075.4699993,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),39,12338.4028273,0,0,4,30.3656,26,759.1626192999998,1,96.285,2,574.631065,6,10877.958543,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),38,3571.198,1,3.59,6,41.367999999999995,22,736.90672,2,182.27328,5,1329.94,2,1277.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),42,9001.1008531,0,0,1,9,22,705.1857176,7,405.7052,7,1175.0099483,5,6706.1999872,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),43,18815.442833906,1,4.02,3,19.85,24,709.445123306,6,390.4808,3,651.3447147999999,6,17040.3021958,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),58,16883.4016,1,4.49,4,27.470000000000002,27,796.9916,9,602.24,10,2248.9300000000003,7,13203.28,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),47,35653.238629039995,0,0,2,17.39744,31,1057.87706904,4,333.56272,7,1509.4614000000001,3,32734.94,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),18,36265.50320000001,0,0,0,0,8,276.17319999999995,1,61.2,1,199.28,8,35728.850000000006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),48,31118.61736622,2,5.59809,2,15.39,20,751.6654682200001,4,310.28999999999996,5,813.7591639999999,15,29221.914644,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),44,3620.4900443999995,1,1.91,2,16.695339,28,923.7110185999999,6,430.592,6,1549.523702,1,698.0579848,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),31,15513.1075465,1,1.1598125,1,7.38,16,483.62496,4,275.69748,5,840.37,4,13904.875294,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 3: Size-wise Classification of Resource Mobilisation  (Equity Issues),21,2038.7875277800001,1,4.86,,,12,383.98995042,5,330.38454,2,809.55305736,1,509.99998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
