fiscal_year,month,month_numeric,data_from_table,open_offers_objectives_change_in_control_of_management_no,open_offers_objectives_change_in_control_of_management_amount_cr,open_offers_objectives_consolidation_of_holdings_no,open_offers_objectives_consolidation_of_holdings_amount_cr,open_offers_objectives_substantial_acquisition_no,open_offers_objectives_substantial_acquisition_amount_cr,open_offers_objectives_total_no,open_offers_objectives_total_amount_cr,released_on,updated_on,data_source,data_url
2018-19,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,5,3027.97,0,0,0,0,5,3027.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,1,46.96,0,0,0,0,1,46.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,3,24.55,1,31.82,0,0,4,56.37,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,5,249.17,0,0,0,0,5,249.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,4,5181.32,0,0,0,0,4,5181.32,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,4,2389.4,0,0,1,474,5,2863.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,4,1150.55,1,3582.08,0,0,5,4732.63,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,12,1502.41,0,0,0,0,12,1502.41,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,4,12.77,0,0,0,0,4,12.77,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,1,0.83,1,8.64,1,0.76,3,10.23,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,1,326.11,1,19.29,1,3.62,3,349.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,3,5078.96,0,0,0,0,3,5078.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,1,20.44,0,0,0,0,1,20.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,7,465.13,0,0,0,0,7,465.13,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,2,1.36,1,2.36,0,0,3,3.72,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,4,1088.11,0,0,0,0,4,1088.11,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,2,528.16,0,0,0,0,2,528.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,7,3852.44,1,7.51,1,1.72,9,3861.67,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,5,3008.03,0,0,1,2.36,6,3010.3900000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,6,480.5,0,0,0,0,6,480.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,2,19.35,0,0,2,28.14,4,47.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,2,103,0,0,3,46.15,5,149.15,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,4,17.04,0,0,1,194.14,5,211.17999999999998,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,1,62.1,1,363.66,1,14.27,3,440.03000000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,5,26.85,1,15298.5,0,0,6,15325.35,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,4,1400.44,0,0,0,0,3,1400.44,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,6,79.75,0,0,0,0,6,79.75,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,5,8267.1,0,0,0,0,5,8267.1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,8,2081.96,0,0,0,0,8,2081.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,3,6,0,0,0,0,3,6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,7,3316.25,0,0,0,0,7,3316.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,7,110.59,0,0,1,0.78,8,111.37,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,5,6.19,5,6.19,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,4,89.29,0,0,3,1898.54,7,1987.83,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,4,103.15,0,0,7,90.49,11,193.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,1,3.15,0,0,1,296.36,2,299.51,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,5,261.31,0,0,0,0,5,261.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,7,171.1,0,0,0,0,7,171.1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,21,2606.75,0,0,0,0,21,2606.75,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,5,37.27,2,18.92,0,0,7,56.190000000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,7,94.6,0,0,0,0,7,94.6,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,3,30723.863999999994,1,1545.41,0,0,4,32269.273999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,7,58.33,0,0,1,5.76,8,64.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,7,414.23,1,8.91,0,0,8,423.14000000000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,5,498.64,0,0,0,0,5,498.64,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,6,598.039,0,0,0,0,6,598.039,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,4,2.667,1,296.37,0,0,5,299.037,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,3,41.4,0,0,0,0,3,41.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,1,4.36,0,0,4,7.65,5,12.010000000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,1,3.27,8,1598.22,9,1601.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,8,51.89,8,51.89,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,7,15.16,7,15.16,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,6,1672.46,6,1672.46,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,8,904.91,8,904.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,4,7.06,4,7.06,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,4,3283.93,4,3283.93,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,3,3.87,3,3.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,6,794.02,6,794.02,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,10,1870.01,10,1870.01,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,0,0,0,0,3,34.74,3,34.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,April,4,Table 15: Substantial Acquisition of Shares and Takeovers,5,2723.48,1,5.61,0,0,6,2729.09,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,May,5,Table 15: Substantial Acquisition of Shares and Takeovers,1,4.98,0,0,0,0,1,4.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,June,6,Table 15: Substantial Acquisition of Shares and Takeovers,4,15.12,0,0,0,0,4,15.12,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,July,7,Table 15: Substantial Acquisition of Shares and Takeovers,13,437.1,0,0,0,0,13,437.1,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,August,8,Table 15: Substantial Acquisition of Shares and Takeovers,8,341.67,0,0,0,0,8,341.67,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,September,9,Table 15: Substantial Acquisition of Shares and Takeovers,4,183.52,0,0,0,0,4,183.52,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,October,10,Table 15: Substantial Acquisition of Shares and Takeovers,8,455.59,0,0,0,0,8,455.59,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,November,11,Table 15: Substantial Acquisition of Shares and Takeovers,5,1062.17,0,0,0,0,5,1062.17,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,December,12,Table 15: Substantial Acquisition of Shares and Takeovers,4,600.25,0,0,0,0,4,600.25,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,January,1,Table 15: Substantial Acquisition of Shares and Takeovers,8,3775.49,0,0,0,0,8,3775.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,February,2,Table 15: Substantial Acquisition of Shares and Takeovers,4,2162.2,0,0,0,0,4,2162.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,March,3,Table 15: Substantial Acquisition of Shares and Takeovers,6,3689.36,0,0,0,0,6,3689.36,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
